country,continent,date,new_vaccinations,total_vaccinations,people_fully_vaccinated,vaccine_used,population,population_density,gdp_per_capita,human_development_index
Afghanistan,Asia,2021-02-10,,,,,38928341,54.422,1803.987,0.511
Afghanistan,Asia,2021-02-11,,,,,38928341,54.422,1803.987,0.511
Afghanistan,Asia,2021-02-12,,,,,38928341,54.422,1803.987,0.511
Afghanistan,Asia,2021-02-13,,,,,38928341,54.422,1803.987,0.511
Afghanistan,Asia,2021-02-14,,,,,38928341,54.422,1803.987,0.511
Afghanistan,Asia,2021-02-15,,,,,38928341,54.422,1803.987,0.511
Afghanistan,Asia,2021-02-16,,,,,38928341,54.422,1803.987,0.511
Albania,Europe,2021-02-10,,,,Pfizer/BioNTech,2877800,104.871,11803.431,0.795
Albania,Europe,2021-02-11,,,,Pfizer/BioNTech,2877800,104.871,11803.431,0.795
Albania,Europe,2021-02-12,,,,Pfizer/BioNTech,2877800,104.871,11803.431,0.795
Albania,Europe,2021-02-13,,,,Pfizer/BioNTech,2877800,104.871,11803.431,0.795
Albania,Europe,2021-02-14,,,,Pfizer/BioNTech,2877800,104.871,11803.431,0.795
Albania,Europe,2021-02-15,,,,Pfizer/BioNTech,2877800,104.871,11803.431,0.795
Albania,Europe,2021-02-16,,,,Pfizer/BioNTech,2877800,104.871,11803.431,0.795
Algeria,Africa,2021-02-10,,,,Sputnik V,43851043,17.348,13913.839,0.748
Algeria,Africa,2021-02-11,,,,Sputnik V,43851043,17.348,13913.839,0.748
Algeria,Africa,2021-02-12,,,,Sputnik V,43851043,17.348,13913.839,0.748
Algeria,Africa,2021-02-13,,,,Sputnik V,43851043,17.348,13913.839,0.748
Algeria,Africa,2021-02-14,,,,Sputnik V,43851043,17.348,13913.839,0.748
Algeria,Africa,2021-02-15,,,,Sputnik V,43851043,17.348,13913.839,0.748
Algeria,Africa,2021-02-16,,,,Sputnik V,43851043,17.348,13913.839,0.748
Andorra,Europe,2021-02-10,,1291,,Pfizer/BioNTech,77265,163.755,,0.868
Andorra,Europe,2021-02-11,,,,Pfizer/BioNTech,77265,163.755,,0.868
Andorra,Europe,2021-02-12,,,,Pfizer/BioNTech,77265,163.755,,0.868
Andorra,Europe,2021-02-13,,,,Pfizer/BioNTech,77265,163.755,,0.868
Andorra,Europe,2021-02-14,,,,Pfizer/BioNTech,77265,163.755,,0.868
Andorra,Europe,2021-02-15,,,,Pfizer/BioNTech,77265,163.755,,0.868
Andorra,Europe,2021-02-16,,,,Pfizer/BioNTech,77265,163.755,,0.868
Angola,Africa,2021-02-10,,,,,32866268,23.89,5819.495,0.581
Angola,Africa,2021-02-11,,,,,32866268,23.89,5819.495,0.581
Angola,Africa,2021-02-12,,,,,32866268,23.89,5819.495,0.581
Angola,Africa,2021-02-13,,,,,32866268,23.89,5819.495,0.581
Angola,Africa,2021-02-14,,,,,32866268,23.89,5819.495,0.581
Angola,Africa,2021-02-15,,,,,32866268,23.89,5819.495,0.581
Angola,Africa,2021-02-16,,,,,32866268,23.89,5819.495,0.581
Anguilla,North America,2021-02-10,,,,Oxford/AstraZeneca,15002,,,
Anguilla,North America,2021-02-11,,,,Oxford/AstraZeneca,15002,,,
Anguilla,North America,2021-02-12,,,,Oxford/AstraZeneca,15002,,,
Anguilla,North America,2021-02-13,,1341,,Oxford/AstraZeneca,15002,,,
Anguilla,North America,2021-02-14,,,,Oxford/AstraZeneca,15002,,,
Anguilla,North America,2021-02-15,,,,Oxford/AstraZeneca,15002,,,
Anguilla,North America,2021-02-16,,,,Oxford/AstraZeneca,15002,,,
Antigua and Barbuda,North America,2021-02-10,,,,,97928,231.845,21490.943,0.778
Antigua and Barbuda,North America,2021-02-11,,,,,97928,231.845,21490.943,0.778
Antigua and Barbuda,North America,2021-02-12,,,,,97928,231.845,21490.943,0.778
Antigua and Barbuda,North America,2021-02-13,,,,,97928,231.845,21490.943,0.778
Antigua and Barbuda,North America,2021-02-14,,,,,97928,231.845,21490.943,0.778
Antigua and Barbuda,North America,2021-02-15,,,,,97928,231.845,21490.943,0.778
Antigua and Barbuda,North America,2021-02-16,,,,,97928,231.845,21490.943,0.778
Argentina,South America,2021-02-10,22125,535303,197531,Sputnik V,45195777,16.177,18933.907,0.845
Argentina,South America,2021-02-11,37625,572928,210279,Sputnik V,45195777,16.177,18933.907,0.845
