tt3116438,Day of the Mummy
tt0098565,An Unremarkable Life
tt0028891,Forty Naughty Girls
tt3062096,Inferno
tt0258000,Panic Room
tt3228994,Straight Outta Oakland
tt0113609,Last Gasp
tt0363473,Beyond the Sea
tt0045854,Half a Hero
tt0092673,Blood Sisters
tt0469976,Spinning Into Butter
tt1587839,Pooltime
tt0047296,On the Waterfront
tt2141941,Night Has Settled
tt2718314,Dark Awakening
tt2531362,Chariot
tt0249478,Domestic Disturbance
tt0026992,Show Them No Mercy!
tt2231253,Wild Card
tt1232202,Nic & Tristan Go Mega Dega
tt4215810,River
tt0117021,Menno's Mind
tt0079639,The North Avenue Irregulars
tt0069919,Cops and Robbers
tt3237826,Medusa
tt0160574,Nice Guys Sleep Alone
tt0034570,Calling Dr. Gillespie
tt0144557,Puddle Cruiser
tt0499672,Unemployed
tt0493425,Hiding Victoria
tt0028241,Shadow of Chinatown
tt6857040,The Appearance
tt0098966,3 Men and a Little Lady
tt0271367,Eight Legged Freaks
tt0028599,Back in Circulation
tt0032551,The Grapes of Wrath
tt0094998,Demonwarp
tt3663564,Madtown
tt0217355,Dancing at the Blue Iguana
tt0085159,Amityville 3-D
tt0489270,Saw III
tt0048719,Three for the Show
tt1135487,Duplicity
tt0047408,Rhapsody
tt1247690,Serena
tt1991180,Showboys
tt0021607,An American Tragedy
tt0120659,Endurance
tt0044988,Oklahoma Annie
tt0310281,A Mighty Wind
tt0493421,Greetings from the Shore
tt0387549,The Roost
tt0222375,"Sleep Easy, Hutch Rimes"
tt5836316,Dog Years
tt0107750,Only the Strong
tt1132438,Born of Earth
tt0010806,True Heart Susie
tt0019726,Broadway Babies
tt0161109,The Young Girl and the Monsoon
tt0095400,The Jigsaw Murders
tt0116629,Independence Day
tt0092769,Commando Squad
tt0094138,Three O'Clock High
tt2538130,Return to Zero
tt0043466,The Devil's Sleep
tt0055489,Summer and Smoke
tt0067433,Minnie and Moskowitz
tt0054892,Francis of Assisi
tt1785635,The Vault
tt0462160,7eventy 5ive
tt0031033,Allegheny Uprising
tt1234721,RoboCop
tt1572773,God of Vampires
tt0360323,10th & Wolf
tt0848281,The Deal
tt0099440,The Disturbance
tt0111079,Savage Land
tt1957867,Christmas in Compton
tt0053571,The Adventures of Huckleberry Finn
tt0057360,A New Kind of Love
tt0100946,Without You I'm Nothing
tt0264472,Changing Lanes
tt2721624,What Separates Us
tt0059199,Frankenstein Meets the Spacemonster
tt1359553,The Chameleon
tt0053901,Hell to Eternity
tt0273689,It's All About Love
tt0036983,The Keys of the Kingdom
tt0108350,Night Terrors
tt0119896,Picture Perfect
tt0104006,Consenting Adults
tt1715336,Anna
tt0109288,Blankman
tt2005164,Breathless
tt2043887,Insectula!
tt5470222,Contract to Kill
tt1489887,Booksmart
tt0118661,The Avengers
tt1705952,Tarzan
tt0076054,Freaky Friday
tt0074442,I due superpiedi quasi piatti
tt0036255,The Pay Off
tt0034240,Sullivan's Travels
tt0036432,Thousands Cheer
tt1082807,The Belko Experiment
tt1543652,Pinching Penny
tt4801232,In Search of Fellini
tt0037966,Over 21
tt0025039,Death on the Diamond
tt0426906,Apocalypse and the Beauty Queen
tt0272557,Contagion
tt0119324,The House of Yes
tt0062218,Rough Night in Jericho
tt0772168,Grace Is Gone
tt0083755,The Concrete Jungle
tt0433383,"Good Night, and Good Luck."
tt0030057,The Devil's Party
tt1895587,Spotlight
tt0386649,Motocross Kids
tt1037705,The Book of Eli
tt2937696,Everybody Wants Some!!
tt0373926,The Interpreter
tt1954352,Crooked Arrows
tt5308322,Happy Death Day
tt2401023,Jack London's Love of Life
tt0018138,"Man, Woman and Sin"
tt3720788,The Disappearance of Eleanor Rigby: Her
tt1290138,Frank & Lola
tt0034011,The Penalty
tt2716062,The Giant Spider
tt0092752,The Chipmunk Adventure
tt5737582,Midnighters
tt0040806,The Snake Pit
tt0031302,Fifth Avenue Girl
tt2410290,Nobody's Perfect
tt0031549,Lady of the Tropics
tt0034106,Ridin' on a Rainbow
tt8421518,Frontera
tt0067388,Man in the Wilderness
tt0116259,Extreme Measures
tt2941260,Joker Rising
tt0092532,Alien from L.A.
tt0021345,The Sea Bat
tt0762145,Vice
tt0490075,Aftermath
tt0049964,World Without End
tt0117640,Showgirl Murders
tt0053440,Wernher von Braun
tt0093743,Pinocchio and the Emperor of the Night
tt0106850,Extreme Justice
tt4586136,Tsunambee: The Wrath Cometh
tt1132286,Mandie and the Secret Tunnel
tt0050882,Raintree County
tt0047885,Blackboard Jungle
tt1604589,My Uncle Rafael
tt1172570,Bronson
tt0952640,Alvin and the Chipmunks
tt0424840,Between
tt0468538,Ride or Die
tt1836926,Stealing Las Vegas
tt0022432,Stepping Out
tt7866988,The Way You Look Tonight
tt0096281,Tokyo Pop
tt0207377,Chain of Command
tt5176832,The Doll
tt1210166,Moneyball
tt0041890,So Dear to My Heart
tt0075406,Voyage of the Damned
tt2350374,The Senior Prank
tt5279042,Love Under New Management: The Miki Howard Story
tt0051143,Up in Smoke
tt0042788,Night and the City
tt0051987,Never Love a Stranger
tt0425548,Touched
tt0398286,Tangled
tt0119845,"Other Voices, Other Rooms"
tt0140533,Satan's Black Wedding
tt0083619,Barbarosa
tt0891592,Street Fighter: The Legend of Chun-Li
tt0037651,The Dolly Sisters
tt0106216,Acting on Impulse
tt0095120,Evil Laugh
tt5453522,The Men
tt0105508,Swoon
tt0092615,The Barbarians
tt0353794,New Guy
tt5519340,Bright
tt0499556,War
tt0049431,The Last Frontier
tt0107443,Lost in Yonkers
tt9411866,The Roads Not Taken
tt0088392,What Waits Below
tt0003167,"Home, Sweet Home"
tt4486986,All I See Is You
tt1762370,3 Blind Saints
tt0262432,George Washington
tt0021013,Journey's End
tt0295289,A Guy Thing
tt1264115,The Trial
tt0109266,Bang
tt1582208,Isolation
tt0030225,Heart of the North
tt1698008,Super Shark
tt0023369,Rain
tt0407761,Fugitive Hunter
tt0268762,Wrong Number
tt0365960,Zero Day
tt0117912,Time Under Fire
tt0060135,Assault on a Queen
tt1396218,Mr. Popper's Penguins
tt0388980,The Greatest Game Ever Played
tt3742300,Appetites
tt0079588,The Muppet Movie
tt3854104,Felt
tt6802308,The 15:17 to Paris
tt4096810,The Unearthing
tt0013662,Tess of the Storm Country
tt7681824,We the Animals
tt5665256,Infinity Baby
tt0384810,Around the Bend
tt0093175,Hello Again
tt0005060,Carmen
tt5282590,Sadistic Intentions
tt0087265,The Flamingo Kid
tt0770814,Tennessee
tt0060809,The Pad and How to Use It
tt0109758,Exit to Eden
tt0047475,The Shanghai Story
tt0113080,Flirt
tt0022139,Men with Wings
tt0089911,Revenge of the Stolen Stars
tt0073012,The Four Musketeers
tt2257816,Midnight Stallion
tt1217209,Brave
tt0443680,The Assassination of Jesse James by the Coward Robert Ford
tt0043848,Never Trust a Gambler
tt0027932,Make Way for a Lady
tt2535394,Medal of Victory
tt0097174,Deathstalker and the Warriors from Hell
tt0046785,Black Horse Canyon
tt0045515,Arena
tt0129839,Confessions of a Lap Dancer
tt0044406,Bela Lugosi Meets a Brooklyn Gorilla
tt0101652,Dance Macabre
tt0271444,Crooked Lines
tt0102798,Robin Hood: Prince of Thieves
tt1748159,Peach Plum Pear
tt0039188,Bill and Coo
tt0247425,In the Bedroom
tt0427688,Studio 666
tt0404390,Running Scared
tt0821640,Ghosts of Girlfriends Past
tt3560658,Operation Rogue
tt5001718,"Everything, Everything"
tt0046928,Down Three Dark Streets
tt0036379,Song of Texas
tt1462506,Identity Theft
tt0151666,The Mugger
